id,brand_name,generic_name,species,dose_mg_per_kg_min,dose_mg_per_kg_max,concentration_value,concentration_unit,concentration_ml,dosage_form,route,frequency,unit_description,notes
"603","Ato Fenicol 200 (Atco pharma)","Florfenicol","cattle","20","40","100","mg/ml","1","injectable","IM/SC","q48h IM or q24h SC","100 ml vial (Atco pharma)","Category: Antibiotic (Phenicol). Composition Each 100 ml contain - 20 gm florfenicol. Indications and Usage Cows: bovine respiratory disease (BRD), a.k.a. shipping fever or transient fever, associated with florfenicol–sensitive bacteria. Dosage - I/M injection in neck muscles. - For active ingredient, 20mg florfenicol base/kg b.wt.... | Ref: Cattle 20 mg/kg IM q48h or 40 mg/kg SC (long-acting). Plumb's."
"604","Florkem (Ceva Co.)","Florfenicol","large_animal","20","20","300","mg/ml","1","injectable","IM/IV","q8h","30 ml vial (Ceva Co.)","Category: Antibiotic (Phenicol). Composition: - Florfenicol 300 mg / ml Pharmacodynamic properties - Florfenicol is a synthetic broad-spectrum antibiotic effective against most Gram positive and Gram negative bacteria isolated from domestic animals. - Florfenicol acts by inhibiting bacteria protein synthesis at the ribosomal level,... | Ref: Ref: Plumb's 9th Ed. p. 473."
"605","Florflox (Avico)","Florfenicol + Flunixin Meglumine","large_animal","40","40","100","mg/ml","1","injectable","IM/IV","q8h","100 ml vial (Avico)","Category: Antibiotic (Phenicol) + NSAIDs. Composition: Each 1 ml contains: - Florfenicol 300.0 mg - Flunixin (as flunixin meglumine) 16.5 mg Properties Treatment of respiratory infections caused by Mannheimia haemolytica, Pasteurella multocida, Mycoplasma bovis and Histophilus somni associated with pyrexia. Indications Treatment of respirat... | Ref: Ref: Plumb's 9th Ed. p. 473."
"606","Intramix (Science Med Co.)","Florfenicol + Flunixin Meglumine","large_animal","1.1","2.2","100","mg/ml","1","injectable","IV/IM/SC","q24h max 3-5 days","100 ml vial (Science Med Co.)","Category: Antibiotic (Phenicol) + NSAIDs. Composition Each 1 ml contains: - Florfenicol 300 mg. - Flunixin ( as flunixin meglumine ) 16.5 mg. Indication: Treatment of respiratory infections associated with pyrexia. Dosage: Single S/C • 2 ml/15 kg b. wt. Instructions: • Dose volume given at any one injection site should not exceed 10 ml. • R... | Ref: Cattle 1.1-2.2 mg/kg IV q24h. Horses 0.5-1.1 mg/kg IV/IM q12h. Plumb's Vet Drug Handbook."
"607","Injectomeg (Adwia)","Florfenicol + Flunixin Meglumine","large_animal","1.1","2.2","100","mg/ml","1","injectable","IV/IM/SC","q24h max 3-5 days","100 ml vial (Adwia)","Category: Antibiotic (Phenicol) + NSAIDs. Indication: Treatment of respiratory infections associated with pyrexia. Dosage: Single S/C • 2 ml/15 kg b. wt. Instructions: • Dose volume given at any one injection site should not exceed 10 ml. • Recommended to treat animals in the early stages of the disease and to evaluate the response to treat... | Ref: Cattle 1.1-2.2 mg/kg IV q24h. Horses 0.5-1.1 mg/kg IV/IM q12h. Plumb's Vet Drug Handbook."
"608","Resflor (MSD Co. (Intervet))","Florfenicol + Flunixin Meglumine","large_animal","40","40","300","mg/ml","1","injectable","IM/IV","q8h","100 ml vial (MSD Co. (Intervet))","Category: Antibiotic (Phenicol) + NSAIDs. COMPOSITION Each ml contains: Active substance: - Florfenicol 300 mg - Flunixin (as flunixin meglumine) 16.5 mg Excipients Propylene glycol (E1520) 150 mg, N-methyl-2-pyrrolidone, Anhydrous citric acid and (Macrogol 300). PHARMACEUTICAL FORM Solution for injection. Clear, light yellow to straw colou... | Ref: Ref: Plumb's 9th Ed. p. 473."
"609","Ketamine (N/A)","Ketamine HCL","large_animal","0.5","1","100","mg/ml","1","injectable","IM/IV","q24h","20 ml vial (N/A)","Category: Anesthetic. General effect: 1. Analgesia & amnesia with an anesthetic like state 2. Poor muscle relaxation when used alone 3. Laryngeal reflex remain intact so cannot be used in intubation 4. Induction agent for inhalation anesthesia 5. Increase in blood pressure and heart rate on induction and increase tempera..."
"610","Tripelene (Adwia)","Tripelennamine HCL","large_animal","1.1","1.1","20","mg/ml","1","injectable","IM/IV","q12h","100 ml vial (Adwia)","Category: Antihistamine. Composition: Each 1 ml contains: - Tripelennamine HCI 20 mg (equi to 17.5 mg Tripelennamine base) Properties: 1. Tripelennamine HCI is an ethylenediamine derivative antihistamine (H1 receptor antagonist). 2. Antihistamine (H1 receptor antagonist) competitively inhibits histamine at H1 receptor sites..."
"611","Thiopental sodium (N/A)","Thiopental sodium","dogs and cats","20","30","100","mg/ml","1","injectable","IV","q24h","1 gm vial (N/A)","Category: Anesthetic. Properties: Ultra short thiobarbiturate Indication: 1. Short surgical procedures 2. Induction agent for inhalation anesthesia Dose: 1. Canine: 20-30 mg/Kg I/V 2. Bovine and equine: 6.6-8.8 mg/Kg IV Technique: Inject 1/3 of dose slowly then other on intervals as Repeated dose cause accumulative effec..."
"612","Colitrim (Pharma swede)","Sulphadiazine + Trimethoprim","large_animal","15","24","200","mg/ml","1","oral solution","PO","q24h","200 ml Bottle (Pharma swede)","Category: Antibiotic (Sulfonamide). Composition: Each 1 ml Contains: - Sulphadiazine (Sodium) 200 mg - Trimethoprim 40 mg Properties: - Sulphadiazine belongs to sulfonamides that block the synthesis of dihydrofolic acid from PABA by competitive inhibition of PABA. Trimethoprim blocks the synthesis of tetrahydrofolic acid from dihydrof... | Ref: Ref: Plumb's 9th Ed. p. 1152."
"613","Bulamin grow (Bullvet >> sama vet pharm)","VITAMINs + Amino Acids","large_animal","0","0","144","mg/ml","1","injectable","IM/IV","q24h","100 ml vial (Bullvet >> sama vet pharm)","Category: Growth Promoter. Composition: Each 100 ml contains:- - Arginine (L-Arginine HCL) 144 mg - Cysteine (L-Cysteine) 320 mg - Glutamine (L-glutamic acid) 320 mg - Glycine 320 mg - Histidine (L-Histidine) 132 Mg - Isoleucine (L-Isoleucine HCL) 360 mg - Leucine (L-Leucine HCL) 428 mg - Lysine (L-Lysine HCL) 544 mg - Methio... | DOSING: Volume-based dosing per label. Cattle/Horses 10-25 mL IM/SC/IV; Calves/Foals 5-10 mL. (Not standard mg/kg). Ref: Merck Vet Manual."
"614","Lincodel-S (Delta Pharma)","Lincomycin + Spectinomycin","dogs and cats","2.5","2.5","100","mg/ml","1","injectable","IM","q24h IM","100 ml vial (Delta Pharma)","Category: Antibiotic (Lincosamide + aminoglycoside). Composition: Each 1 ml contains: – Lincomycin base 50 mg – Spectinomycin base 100 mg Indications: Lincodel-S is used in dogs and cats for the treatment of infections caused by Staphylococcus aureus, Pasteurella multocida, Streptococcus spp. and Mycoplasma spp. Lincodel-S is used in chickens for the ... | Ref: Cattle/Pigs 2.5 mg/kg IM q24h. Plumb's."
"615","Ademec LA (Bullvet >> sama vet pharm)","Ivermectin + Vitamin AD3E","large_animal","0.2","0.2","10","mg/ml","1","injectable","SC","single dose (repeat in 2 weeks if needed)","100 ml vial (Bullvet >> sama vet pharm)","Category: Anthelmintic + Supportive treatment. Composition: - Ivermectin 1% - Vitamin AD3E Indications: • Control of mature and immature round worms as well as lung worms affecting Sheep, Goats , Cows, Buffaloes and Camels. It also controls nasal bot, cattle grubs, mites, tick and lice that affect different animal species. • The physiological Fu... | Ref: Cattle/Sheep/Goats 0.2 mg/kg SC or PO. Horses 0.2 mg/kg PO. Plumb's Vet Drug Handbook."
"616","Duocycline LA (Univet Co.)","Oxytetracycline","large_animal","5","10","200","mg/ml","1","injectable","IV/IM","q12-24h","100 ml vial (Univet Co.)","Category: Antibiotic (Tetracycline). COMPOSITION Each ml contains: - Oxytetracycline (as dihydrate) 200 mg Pharmacodynamic properties Oxytetracycline interferes with bacterial protein synthesis. Following diffusion through the outer cell membrane, oxytetracyclineis actively transported to the inner cytoplasmicmembrane. It binds to rece... | Ref: Cattle/Sheep/Horses 5-10 mg/kg IV/IM q12-24h (short-acting) or 20 mg/kg IM q48-72h (long-acting). Plumb's."
"617","Dovemix (Bullvet >> sama vet pharm)","Nitroxynil + Cyanocobalamin","large_animal","10","12.5","340","mg/ml","1","injectable","SC","single dose (repeat in 4-6 weeks if needed)","250 ml vial (Bullvet >> sama vet pharm)","Category: Anthelmintic. Properties: Fasciolicidal anthelmintic DOVEMIX 34/100. - Nitroxinil 34% + Cyanocobalamin 100 mcg (Vit B12) Indications: • Indicated for the treatment of fascioliasis (infestation of mature and immature Fasciola hepatica) in cattle and sheep. • It is also effective, at the recommended dose rate, agai... | Ref: Cattle 10 mg/kg SC; Sheep/Goats 10-12.5 mg/kg SC. Plumb's Vet Drug Handbook."
"618","Kenazuril 2.5% (El kenana group)","Toltrazuril","poultry","20","20","25","mg/ml","1","oral solution","PO","single dose PO q2 weeks","1L Bottle (El kenana group)","Category: Antiprotozoal (Coccidia). COMPOSITION Each 100 ml. contains: - Toltrazuril 2.5 gm. INDICATIONS KENAZURIL 2.5% is indicated for the treatment of coccidiosis in chickens & turkeys. DOSAGE – ( 1 ml. KENAZURIL 2.5% / 1 liter of drinking water for continuous period of 48 hours) OR – ( 3 ml. KENAZURIL 2.5%/ 1 liter of drinking wat... | Ref: Cattle/Pigs/Poultry 20 mg/kg PO single dose. Lambs 20 mg/kg PO. Plumb's Vet Drug Handbook."
"619","Diminsan (Arabcomed)","Diminazene Aceturate + Phenazone","large_animal","3.5","7","100","mg/ml","1","injectable","IM","single dose IM (repeat in 1-2 weeks)","2.36 gm vial (Arabcomed)","Category: Antiprotozoal (Babesia & Trypanosoma). Properties: Diminsan 2.36 gm • Diminazene aceturate 1.05 gm • Phenazone (antipyrine) 1.31 gm Indications: Chemotherapeutic active against trypanosomes and babesiae. The product is fixed irreversibly on the living piroplasms. Very often a single injection is sufficient to counteract the infection wit... | Ref: Cattle/Horses 3.5-7 mg/kg deep IM. Dogs 3.5 mg/kg IM. Merck Vet Manual."
"620","Butox (MSD Co. (Intervet))","Deltamethrin","large_animal","0","0","100","mg/ml","1","topical solution","Topical","q24h","1L Bottle (MSD Co. (Intervet))","Category: Ectoparasiticide. Instructions for use: For external use by washing, spraying or plunge dip treatment Dosage & Administration: wash or spray 1 ml / 1 L Water Precautions: • Do not spray facing the wind. • Do not eat, drink or smoke while using the product. • In case of contact with eyes and skin, wash immediately wit... | DOSING: Apply topically to affected area BID or as directed on label. For external veterinary use only."
"621","Phytopan (N/A)","phenyl pyrazole derivative","large_animal","0","0","100","mg/ml","1","topical solution","Topical","q24h","500 ml Bottle (N/A)","Category: Ectoparasiticide. Phytopan is safe, Potent and long Acting new Formula For Ectoparasities Control, Emulisifiable Solution For External use, Broad spectrum long acting insecticide for prevention and control of Ticks, Flies, Lices and mange mites resistant to Pyrethroids and Organophosphates Formulation: - Carvacrol 60... | DOSING: Apply topically to affected area BID or as directed on label. For external veterinary use only."
"622","Sebacil (Bayer)","Phoxim","large_animal","0","0","500","mg/ml","1","topical solution","Topical","q24h","250 ml Bottle (Bayer)","Category: Ectoparasiticide. Properties: Phoxim 500 mg/ml Instructions for use For external use by washing, spraying or plunge dip treatment. Dosage & Administration: wash or spray 1 ml / 1 L Water In severe scabies cases, the concentration is doubled so as to dilute 20 ml of the product plus 10 liters of water. Washing treatme... | Ref: Ref: Merck Vet Manual."
"623","Diazinon (N/A)","Diazinon","large_animal","0","0","100","mg/ml","1","topical solution","Topical","q24h","250 ml Bottle (N/A)","Category: Ectoparasiticide (Organophosphate). Contact insecticide inhibiting acetylcholinesterase. Indications: Control of ticks, lice, mange mites, and blowfly strike. Dosage: Dilute in water per label (1:1000 for plunge dipping or spraying). For external veterinary use only. Withdrawal: Meat 14-28 days. Ref: Merck Vet Manual."
"624","VAM (Novo Vet)","MINERALs + VTAMINs + AA","large_animal","0","0","50","mg/ml","1","injectable","IM/IV","q24h","100 ml vial (Novo Vet)","Category: Growth Promoter. Composition: Each 1 ml contains: - Active Vitamin B12 (Raw liver) 2 mcg - Vitamin B12 (Cyanocobalamin) 500 mcg - Vitamin BI (Thiamine hydrochloride) 50 mg - Vitamin B2 (Riboflavin sodium phosphate) 0.6 mg - Vitamin B3 (Nicotinamide) 45 me - Vitamin B5 (d-Panthenol) 3 mg - Vitamin B6 (pyridoxine hydr... | DOSING: Per-label dosing. Volume/animal varies by product. Not standard mg/kg."
"625","Ornipural (Vetoquinol)","Betaine + Sorbitol + Liver Stimulants","large_animal","0","0","15","mg/ml","1","injectable","IM/IV","q24h","100 ml vial (Vetoquinol)","Category: Liver & Kidney Tonic. Ornipural is Hepato-protector and Ammonemia regulator Injectable solution COMPOSITION - Betaine 15 mg - Arginine (hydrochloride) 33.3 mg - Ornithine (hydrochloride) 11.8 mg - Citrulline 10 mg - Sorbitol (E420) 200 mg - Metacresol 3 mg - Excipient QS 1 ml TARGET SPECIES Horses, cattle, sheep, pigs, d..."
"626","Vetrocin (El-Nasr)","Penicillin G + Streptomycin","large_animal","10","20","100","mg/ml","1","injectable","IM","q12-24h IM","Powder Vial (El-Nasr)","Category: Antibiotic (Penicillin + Aminoglycoside). COMPOSITION: Each Vial contains: - Penicillin G. Procaine 1.200.000 I.U. - Penicillin G. Sodium 400.000 I.U. - Streptomycin Sulphate 2 gm INDICATIONS: Broad spectrum antibiotic against gram +ve & -ve bacterial infections and inflammations of: Respiratory tract - Genito - urinary tract Gastro intesti... | Ref: Cattle/Horses 10-20 mg/kg IM q12-24h. Dogs/Cats 10-15 mg/kg IM q12h. Plumb's."
"627","Coglavax (Ceva Co.)","Clostridia Vaccine","large_animal","0","0","100","mg/ml","1","injectable","IM/SC","q24h","500 ml vial (Ceva Co.)","Category: Vaccine. Coglavax® Polyvalent Inactivated Vaccine Against Clostridial Infections In Ruminants COMPOSITION: Coglavax contains antigens in sufficient quantity, which ensure satisfactory immunization against Cl. perfringens A, B, C, D and other clostridial infections due to Cl. oedematiens, septicum, tetani and... | DOSING: Fixed per-animal vaccine dose per label (1-2 mL/animal IM/SC). Not weight-based. | Ref: Ref: Merck Vet Manual."
"628","Cotrimed (Arabcomed)","Sulphadiazine + Trimethoprim","large_animal","15","24","100","mg/tab","1","tablet","PO","q24h","Tablets (Arabcomed)","Category: Antibiotic (Sulfonamide). Composition Each 1 tablet contains - Sulfadiazine 1.0 gm - Trimethoprim 0.2 gm Properties - The combination of a diaminopyrimidine (Trimethoprim) with a sulfonamide (Sulfadiazine) inhibits sequential steps in the synthesis of folic acid and thus the purines required for DNA synthesis. - The interfer... | Ref: Ref: Plumb's 9th Ed. p. 1152."
"629","Phoxim 50% (N/A)","Phoxim","large_animal","0","0","500","mg/ml","1","topical solution","Topical","q24h","Bottle (N/A)","Category: Ectoparasiticide. Properties: Phoxim 500 mg/ml Instructions for use For external use by washing, spraying or plunge dip treatment. Dosage & Administration: wash or spray 1 ml / 1 L Water In severe scabies cases, the concentration is doubled so as to dilute 20 ml of the product plus 10 liters of water. Washing treatme... | Ref: Ref: Merck Vet Manual."
"630","Cebacil gel (N/A)","Phoxim","large_animal","0","0","50","mg/ml","1","topical solution","Topical","q24h","50 ml Bottle (N/A)","Category: Ectoparasiticide (Organophosphate). Phoxim 50%. Indications: Sarcoptic mange, psoroptic mange, lice, and tick infestations. Dosage: Apply topically to localized mange lesions or dilute 1:1000 for full wash/dip. External use only. Withdrawal: Meat 14-28 days. Ref: Merck Vet Manual."
"631","Lincospectoject (Adwia)","Lincomycin + Spectinomycin","dogs and cats","2.5","2.5","100","mg/ml","1","injectable","IM","q24h IM","100 ml vial (Adwia)","Category: Antibiotic (Lincosamide + aminoglycoside). Each 100 ml contains: - Lincomycin 5 gm - Spectinomycin 10 gm Indication: - treating bovine respiratory disease (BRD) - gastroenteritis in calves and lambs Dose: Calves, sheep, goats, lambs & pigs: 1 ml / 10 kg B.wt. by I.M.I. for 2 - 4 days. Dogs & Cats: 1ml / 5 kg B.wt. by I.M.I. may be repeated e... | Ref: Cattle/Pigs 2.5 mg/kg IM q24h. Plumb's."
"632","Arthenile (Raa Pharma)","Phenylbutazone + Na salicylate","large_animal","2.2","4.4","4.4","mg/ml","1","injectable","IV","q24h (horses), q48h (cattle)","100 ml vial (Raa Pharma)","Category: NSAIDs. Arthenile Injectable solution (For vet use) Composition: Each 100 ml contains: - Phenylbutazone 20 gm - Sodium salicylate 2 gm Properties: » Phenylbutazone is a pyrazolone non-steroidal anti-inflammatory. analgesic and antipyretic agent. Phenylbutazone acts by inhibiting the production of prostaglan... | Ref: Horses 2.2-4.4 mg/kg IV/PO q24h. Cattle 10 mg/kg PO (rarely used). Plumb's. Do NOT use in cats."
"633","Flukiless 34% (Badr Pharma)","Nitroxynil","large_animal","10","12.5","100","mg/ml","1","injectable","SC","single dose (repeat in 4-6 weeks if needed)","50 ml vial (Badr Pharma)","Category: Anthelmintic. Composition Each ml contains: - Nitroxinil 340 mg Properties: Nitroxinil is effective against mature flukes of Fasciola hepatica and Fasciola gigantica., Haemonchosis and Parafilaria bovicola, against adult and larval infestations of Haemonchus contortus in cattle and sheep and Haemonchus placei, Oe... | Ref: Cattle 10 mg/kg SC; Sheep/Goats 10-12.5 mg/kg SC. Plumb's Vet Drug Handbook."
"634","Vamizole 7.5% (Badr Pharma)","Levamisole","large_animal","5","8","75","mg/ml","1","injectable","SC","single dose","100 ml vial (Badr Pharma)","Category: Anthelmintic. Anthelmintic (Imidazothiazole) Vamizole 7.5% Levamisole hydrochloride Injectable solution For veterinary use only Composition: Each 1 ml contains: - Levamisole hydrochloride 75 mg Properties: Levamisole is a broad spectrum anthelmintic. It acts by interfering with parasite nerve transmission causing... | Ref: Cattle/Sheep 5-8 mg/kg SC/PO. Dogs (immunostimulant) 0.5-1 mg/kg PO EOD. Plumb's."
"635","Spectovet (Mebedco)","Lincomycin + Spectinomycin","large_animal","2.5","2.5","100","mg/ml","1","injectable","IM","q24h IM","100 ml vial (Mebedco)","Category: Antibiotic (Lincosamide + aminoglycoside). Composition Each 1 ml contains: - Lincomycin (as Lincomycin Hydrochloride Monohydrate) 50 mg - Spectinomycin (as Spectinomycin Sulfate tetrahydrate) 100 mg Indications Spectovet Inj. is indicated for the treatment of infections caused by organisms sensitive to the action of Lincomycin and/ or Specti... | Ref: Cattle/Pigs 2.5 mg/kg IM q24h. Plumb's."
"636","Maroflam (Badr Pharma)","Flunixin Meglumine","large_animal","1.1","2.2","100","mg/ml","1","injectable","IV/IM","q24h max 3-5 days","50 ml vial (Badr Pharma)","Category: NSAIDs. Composition: Each 100 ml contains: - Flunixin meglumine 8.3 gm (eq to Flunixin base 5 gm) Properties: Flunixin meglumine has a potent analgesic, antipyretic and anti-inflammatory activity. Mode of action MAROFLAM acts by inhibition of cyclo-oxygenase cnzyme leading to reduced sythesis of prostagland... | Ref: Cattle 1.1-2.2 mg/kg IV q24h. Horses 0.5-1.1 mg/kg IV/IM q12h. Plumb's Vet Drug Handbook."
"637","Enterocillin 20% (Badr Pharma)","Oxytetracycline","cattle","5","10","100","mg/ml","1","injectable","IV/IM","q12-24h","30 ml vial (Badr Pharma)","Category: Antibiotic (Tetracycline). Composition: Each 100 ml contains Oxytetracycline Dihydrate21.5 gm (Equivalent to Oxytetracycline base 20 gm). Indications: For the treatment of diseases caused by oxytetracycline susceptible organisms including: In Cattle: 1- treatment of pneumonia and shipping fever complex associated with Pasteur... | Ref: Cattle/Sheep/Horses 5-10 mg/kg IV/IM q12-24h (short-acting) or 20 mg/kg IM q48-72h (long-acting). Plumb's."
"638","Betamox LA (Norbrook)","Amoxicillin","large_animal","7","15","172.2","mg/ml","1","injectable","IM/IV","q8h","100 ml vial (Norbrook)","Category: Antibiotic (Aminopenicillin). Broad-spectrum bactericidal penicillin derivative. Indications: Respiratory, gastrointestinal, and urogenital infections in cattle, sheep, swine, dogs, and cats. Dosage: Cattle/Sheep/Swine 7-15 mg/kg IM/SC q24h; Dogs/Cats 10-20 mg/kg PO/SC/IM q12h. Withdrawal: Meat 14-21 days, Milk 48-72 hours. Ref: Plumb's 9th Ed. p. 57."
"639","Curamenth (Adwia)","Nitroxynil + Ivermectin + Clorsulon","cattle","10","12.5","340","mg/ml","1","injectable","SC","single dose (repeat in 4-6 weeks if needed)","100 ml vial (Adwia)","Category: Anthelmintic. Composition - Nitroxynil 34% - Ivermectin 0.67% - Clorsulon 6.7% Indication: - Internal parasite as GIT & Lung worms. - External parasite as ticks, lice & mange. - Liver flukes Dosage and mode of administration: SC Cattle: 3 ml /100 kg of body weight and repeated. | Ref: Cattle 10 mg/kg SC; Sheep/Goats 10-12.5 mg/kg SC. Plumb's Vet Drug Handbook."
"640","Dextrolyte (Ghannam)","VTAMINs + MINERALs","large_animal","0","0","100","mg/g","1","oral powder","PO","q24h","100 gm Powder (Ghannam)","Category: Supportive treatment. Composition: Each 1 kg contains: - Vitamin B1 750 mg - Vitamln B2 1100 mg - Pantothenic acid 1500 mg - Vitamin B6 400 mg - Sodium Citrate 45 gm - Sodium Chloride 65 gm - Sodium Carbonate 50 gm - Potassium Chloride 25 gm - Monopotassium Phosphate 13 gm - Dextrose up to 1 kg Indications - To overcome ... | DOSING: Per-label dosing. Volume/animal varies by product. Not standard mg/kg."
"641","Clamoxyl LA (Zoetis)","Amoxicillin","large_animal","15","15","150","mg/ml","1","injectable","IM/IV","q8h","100 ml vial (Zoetis)","Category: Antibiotic (Penicillin). • Clamoxyl Long Acting 150 mg/ml Suspension for Injection is an off-white oily suspension containing 150 mg/ml amoxicillin as Amoxicillin trihydrate. • The formulation is designed to provide effective antibiotic activity over a period of 48 hours. Indications: - Clamoxyl Long Acting Suspension for I... | Ref: Ref: Plumb's 9th Ed. p. 57."
"642","Sacrolyte (Univet Co.)","VITAMINs + MINERALs","poultry","0","0","138","mg/g","1","oral powder","PO","q12h","100 gm Sachet (Univet Co.)","Category: Supportive treatment. Sacrolyte An Electrolyte pale orange homogeneous powder for Poultry and Calves Recommended Use Sacrolyte is a complete feeding stuff recommended for the stabilization of water and electrolyte balance in young calves and poultry. It contains predominantly electrolytes and easily absorbable carbohydra... | DOSING: Per-label dosing. Volume/animal varies by product. Not standard mg/kg."
"643","Gentamox (HIPRA Co.)","Amoxicillin + Gentamicin","large_animal","6.6","6.6","150","mg/ml","1","injectable","IV/IM","q24h IM/IV","100 ml vial (HIPRA Co.)","Category: Antibiotic (Penicillin + Aminoglycoside). COMPOSITION PER ML: - Amoxicillin trihydrate 150 mg - Gentamicin sulphate 40 mg. Amoxicillin and gentamicin are two known antibiotics that individually have particular and interesting therapeutic properties, and when acting together they have a broad antibacterial spectrum which includes Gram (+) mi... | Ref: Cattle/Horses 6.6 mg/kg IM/IV q24h. Neonates 6 mg/kg IV. Plumb's."
"644","Alexcafo (Alexandria Co.)","Butaphosphan + Vit B12","large_animal","0","0","100","mg/ml","1","injectable","IV/IM/SC","q24h","100 ml vial (Alexandria Co.)","Category: Supportive treatment. Composition: Each 100 ml contains - Butaphosphan 10 gm - Cyanocobalamin (1-(n-Butylamino)-1-methylethylphosphonous acid 0.005 gm Properties: - Vitamin B12 is a collective term for the Cobalamins of which cyanocobalamin and hydroxocobalamin are the principle compounds. They are cobalt-containing wate... | DOSING: Per-animal dose. Horses/Cattle: 1-2 mL/100 kg IV/IM/SC. Refer to product label. | Ref: Ref: Plumb's 9th Ed. p. 159."
"645","Duphalyte (Zoetis)","VITAMINs + MINERALs + AAs","large_animal","0","0","850","mg/ml","1","injectable","IV/IM/SC","q24h","50 ml Bottle (Zoetis)","Category: Supportive treatment. Duphalyte® solution for injection contains Vitamin B complex, electrolytes, amino acids and glucose. COMPOSITION Each ml contains: » VITAMINS - Vit B1 (hydrochloride) 0.1 mg - Vit B2 (as sodium phosphate) 0.04 mg - Vit B6 (hydrochloride) 0.1 mg - Vit B12 0.05 µg - Nicotinamide 1.5 mg - d-Panthenol 0... | DOSING: Per-label dosing. Volume/animal varies by product. Not standard mg/kg."
"646","Isotonic NaHCO3 (Adwia)","Sodium Bicarbonate","large_animal","0","0","100","mg/ml","1","injectable","IM/IV","q8h","500 ml Bottle (Adwia)","Category: Supportive treatment. Isotonic Sodium Bicarbonate sterile solution for Injection for veterinary use only. Composition: Each 100 ml contains: - Sodium bicarbonate 1.3 gm Properties: Sodium bicarbonate is soluble and acts rapidly, producing carbon dioxide. This carbon dioxide may worsen pre-existing bloat often encountered... | DOSING: Per-label volume dosing per animal. Not weight-based mg/kg."
"647","Amigasol (Atco pharma)","Amikacin","horse","10","15","9","mg/ml","1","injectable","IV/IM","q24h IV/IM","100 ml vial (Atco pharma)","Category: Antibiotic (Aminoglycoside). Composition Each 1 ml contains: - Amikacin sulfate 333.8173 mg (eq to 250 mg amikacin base) Indications and Usage Horses: uterine infections (endometritis, metritis, and pyometra) in mares when caused by organisms susceptible to amikacin, including E. coli, pseudomonas spp., and klebsiella spp. Dosa... | Ref: Horses 10-15 mg/kg IV q24h. Dogs/Cats 15-30 mg/kg IV q24h. Foals 7-12 mg/kg IV q24h. Monitor renal function. Plumb's."
"648","Mactilan (Badr Pharma)","Doramectin","large_animal","0.2","0.2","10","mg/ml","1","injectable","IM/SC","single dose","50 ml vial (Badr Pharma)","Category: Anthelmintic. Anthelmintic (Avermectin) Composition: Each 1 ml contains - Doramectin 10 mg Properties Doramectin is a highly active broad spectrum parasiticide which is active against gastrointestinal roundworms, lungworm, eyeworms, grubs, sucking lice and mange mites. It is a novel fermentation derived macrocycl... | Ref: Cattle 0.2 mg/kg SC or IM. Pigs 0.3 mg/kg IM. Merck Vet Manual."
"649","Highticol (Raa Pharma)","Flumethrin","dogs and cats","0","0","10","mg/ml","1","pour-on","Pour-on","q24h","1000 ml (Raa Pharma)","Category: Ectoparasiticide. Used in the treatment of ticks and flea. Composition: flumethrin 10 mg / ml Mode of administration: Topical solution applied on backbone from neck to tail, Applied on Ruminant ,Equine and dogs only Contraindicated in cats | DOSING: Apply topically to affected area BID or as directed on label. For external veterinary use only."
"650","Doradect (Arabcomed)","Doramectin","large_animal","0.2","0.2","10","mg/ml","1","injectable","IM/SC","single dose","50 ml vial (Arabcomed)","Category: Anthelmintic. Anthelmintic (Avermectin) Composition: - Doramectin 10 mg / ml (1% W / V) Properties: Pharmacotherapeutic group: Doradect injectable solution is a highly active, broad-spectrum parasiticide. It contains doramectin, afermentative derived parasiticide macrocyclic lactone. Doramectin is isolated from f... | Ref: Cattle 0.2 mg/kg SC or IM. Pigs 0.3 mg/kg IM. Merck Vet Manual."
"651","Kelbomar (kela Co.)","Marbofloxacin","large_animal","2","2","100","mg/ml","1","injectable","IM/IV","q24h","100 ml vial (kela Co.)","Category: Antibiotic (Quinolone). COMPOSITION: Each 1 ml contains: - Marbofloxacin 100 mg PROPERTIES: Marbofloxacin is a synthetic, bactericidal antimicrobial, belonging to the fluoroquinolones group which acts by inhibition of DNA gyrase. It has a broad-spectrum activity in vitro against Gram-negative bacteria (E. coli, Histophilus... | Ref: Ref: Plumb's 9th Ed. p. 696."
"652","Buscovet Compositum (Arabcomed)","Butylscopolamine + Metamizole","large_animal","0.1","0.3","100","mg/ml","1","injectable","IV/IM","q6-8h IV/IM","100 ml vial (Arabcomed)","Category: Analgesic & Spasmolytic. Composition: Each 100 ml contains: - Butylscopolamine bromide 0.4 gm - Metamizole 50 gm - Butylscopolamine bromide is a spasmolytic agent with particular activity on the smooth muscle of the digestive and urinary systems. It antagonizes the actions of acetylcholine at the muscarinic receptor and als... | Ref: Cattle/Horses 0.1-0.3 mg/kg IV/IM slow (antispasmodic). Dogs/Cats 0.1 mg/kg IV/IM. Plumb's."
